"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UENJAQKN","journalArticle","2016","Chu, X.; Bleasby, K.; Chan, G. H.; Nunes, I.; Evers, R.","Transporters affecting biochemical test results: Creatinine-drug interactions.","Clinical pharmacology and therapeutics","","1532-6535 0009-9236","10.1002/cpt.445","","Creatinine is eliminated by the kidneys through a combination of glomerular filtration and active transport. Drug-induced increases in serum creatinine (SCr)  and/or reduced creatinine renal clearance are used as a marker for acute kidney  injury. However, inhibition of active transport of creatinine can result in  reversible and, therefore, benign increases in SCr levels. Herein, the  transporters involved in creatinine clearance are discussed, in addition to  limitations of using creatinine as a biomarker for kidney damage.","2016-11","2023-07-10 09:10:22","2023-07-10 09:10:22","","437-440","","5","100","","Clin Pharmacol Ther","","","","","","","","eng","© 2016 American Society for Clinical Pharmacology and Therapeutics.","","","","","","Place: United States PMID: 27509262","","","","Humans; Animals; Models, Biological; Biomarkers/blood; Creatinine/*blood; Acute Kidney Injury/*blood/diagnosis; Drug-Related Side Effects and Adverse Reactions/*blood; Organic Cation Transport Proteins/drug effects/*metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CEBMDWZ","journalArticle","2007","Emile, Carole","[Creatinine].","Revue de l'infirmiere","","1293-8505","","","","2007-04","2023-07-10 09:10:22","2023-07-10 09:10:22","","43-44","","129","","","Rev Infirm","","","","","","","","fre","","","","","","","Place: France PMID: 17500291","","","","Humans; Male; Female; Reference Values; Metabolic Clearance Rate; Severity of Illness Index; Body Composition; Patient Education as Topic; Blood Specimen Collection; Creatinine/*metabolism; Kidney Function Tests/*methods/nursing; Nursing Assessment; Renal Insufficiency/classification/diagnosis/*metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFZ3TWUQ","journalArticle","1992","Lacour, B.","[Creatinine and renal function].","Nephrologie","","0250-4960","","","Serum creatinine remains the most widely used measure of renal function in clinical practice and in clinical trials. However, the serum concentration  reflects not only renal excretion, which is composed of filtration and tubular  secretion, but also the generation, intake, and metabolism of creatinine. Thus,  serum creatinine does not provide an adequate estimate of glomerular filtration  rate (GFR). Creatinine clearance is also an inaccurate and imprecise measure of  GFR in clinical practice. The questions concerning the abnormality or the change  of glomerular function can be answered with greater accuracy and precision by  serum creatinine if the factors affecting its concentration are taken into  account. The slope of the decline in reciprocal serum creatinine versus time does  not accurately reflect changes in creatinine clearance and does not allow an  accurate assessment of the rate of progression of renal disease. It can even be  hazardous to use such value to observe the efficacy of treatments for progressive  renal diseases.","1992","2023-07-10 09:10:22","2023-07-10 09:10:22","","73-81","","2","13","","Nephrologie","","","","","","","","fre","","","","","","","Place: Switzerland PMID: 1608500","","","","Humans; Metabolic Clearance Rate; *Kidney Function Tests; Glomerular Filtration Rate; Kidney/physiology; Creatinine/*blood/urine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFW4GIWP","journalArticle","2007","Conil, J. M.; Georges, B.; Lavit, M.; Seguin, T.; Tack, I.; Samii, K.; Chabanon, G.; Houin, G.; Saivin, S.","Pharmacokinetics of ceftazidime and cefepime in burn patients: the importance of age and creatinine clearance.","International journal of clinical pharmacology and therapeutics","","0946-1965","10.5414/cpp45529","","AIM: The standard dosage recommendations for beta-lactam antibiotics can result in very low drug levels in intensive care (IC) patients and burn patients in the  absence of renal dysfunction. We studied the pharmacokinetic parameters and serum  concentrations of ceftazidime (CF) and cefepime (CE) in burn patients and  analyzed the modifications according to clinical and biological parameters and in  particular age and creatinine clearance. MATERIAL AND METHODS: Two  pharmacokinetic studies were carried out with daily doses of 1 g x 6 for CF (n =  17) and 2 g x 3 for CE (n = 13). Creatinine clearance (CL(CR)) was both estimated  and measured. Blood was sampled at steady state after an initial and a subsequent  antibiotic dose. C(max) (maximal) and C(min) (minimal) concentrations were  measured by HPLC. The influence of clinical and biological data was analyzed  using ANOVA, ANCOVA and stepwise multiple linear regression. RESULTS: The ratio  of C(min) to the low MIC break point (4 mg/l) was lower than 4 in 52% of subjects  receiving CF and in 80% of subjects receiving CE. The C(min) of CF was correlated  with measured CL(CR) and was higher in mechanically ventilated patients than in  non-ventilated patients. The clearance of CF was correlated with age. The C(min)  of CE was correlated with age and drug clearance with measured CL(CR). Therefore  dosage adjustment of these drugs in burn patients needs to take into account age,  measured creatinine clearance and the danger of low concentrations occurring when  the creatinine clearance is greater than 120 ml x min(-1). CONCLUSION: In burn  patients, the pharmacokinetic disposition of CF and CE was much more variable  than in healthy subjects. Age and CL(CR) were predictors of the disposition of  these antibiotics. Shortening the dosage interval or using continuous infusions  will prevent low serum levels and keep trough levels above the MIC for longer  periods of time. In view of the lack of a bedside measurement technique for  ceftazidime and cefepime levels, we suggest a more frequent use of measured  CL(CR) in order to attain efficacious clinical concentrations.","2007-10","2023-07-10 09:10:22","2023-07-10 09:10:22","","529-538","","10","45","","Int J Clin Pharmacol Ther","","","","","","","","eng","","","","","","","Place: Germany PMID: 17966838","","","","Adult; Humans; Male; Female; Middle Aged; Aged; Dose-Response Relationship, Drug; Age Factors; Drug Administration Schedule; Chromatography, High Pressure Liquid; Aged, 80 and over; Retrospective Studies; Anti-Bacterial Agents/administration & dosage/*pharmacokinetics; Creatinine/blood/urine; Microbial Sensitivity Tests; Cephalosporins/administration & dosage/*pharmacokinetics; Ceftazidime/administration & dosage/*pharmacokinetics; Burns/*drug therapy/metabolism; Cefepime; Respiration, Artificial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NUCYEIQ","journalArticle","2019","Nakada, Tomohisa; Kudo, Toshiyuki; Kume, Toshiyuki; Kusuhara, Hiroyuki; Ito, Kiyomi","Estimation of changes in serum creatinine and creatinine clearance caused by renal transporter inhibition in healthy subjects.","Drug metabolism and pharmacokinetics","","1880-0920 1347-4367","10.1016/j.dmpk.2019.02.006","","Creatinine is excreted into urine by glomerular filtration and renal tubular secretion through drug transporters such as organic anion transporter 2 (OAT2),  organic cation transporter 2 (OCT2), OCT3, multidrug and toxin extrusion protein  1 (MATE1), and MATE2-K. We aimed to investigate whether our method for estimating  percentage changes in serum creatinine concentration (SCr) and creatinine  clearance (CL(cre)) from the baseline is applicable for studying renal  transporter inhibitors. We tested 14 compounds (cimetidine, cobicistat,  dolutegravir, dronedarone, DX-619, famotidine, INCB039110, nizatidine,  ondansetron, pyrimethamine, rabeprazole, ranolazine, trimethoprim, and  vandetanib), which were reported to cause reversible changes in SCr and/or  CL(cre) in healthy subjects excluding elderly. Percentage changes were estimated  from the relative contributions of the forementioned transporters to CL(cre) and  competitive inhibition by these compounds at their maximum plasma unbound  concentrations. For 7 and 9 out of these compounds, changes in SCr and/or CL(cre)  were estimated within 2- and 3-fold of observed values, respectively. Less than  10% changes in SCr and/or CL(cre) caused by cobicistat, dolutegravir, and  rabeprazole were reproduced as such by our method. These findings suggest that  our method can be used to estimate changes in SCr and CL(cre) caused by  competitive inhibitions of renal drug transporters.","2019-08","2023-07-10 09:10:22","2023-07-10 09:10:22","","233-238","","4","34","","Drug Metab Pharmacokinet","","","","","","","","eng","Copyright © 2019 The Japanese Society for the Study of Xenobiotics. Published by Elsevier Ltd. All rights reserved.","","","","","","Place: England PMID: 31176593","","","","Humans; Pharmacokinetics; Healthy Volunteers; Biological Transport/drug effects; Drug-drug interactions; Proton Pump Inhibitors/*pharmacology; Clinical pharmacology; Creatinine/*blood/*pharmacokinetics; Organic Cation Transport Proteins/*antagonists & inhibitors/metabolism; Renal disease; Transporters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64S4BDPS","journalArticle","2017","Siddighi, Sam; Yune, Junchan J.; Kwon, Nicole B.; Hardesty, Jeffrey S.; Kim, Joo H.; Chan, Philip J.","Perioperative serum creatinine changes and ureteral injury.","International urology and nephrology","","1573-2584 0301-1623","10.1007/s11255-017-1674-z","","PURPOSE: To illustrate a simple method that screens for ureteral injury in the acute postoperative period after urogynecologic surgeries. METHODS: Serum  creatinine measurements in the preoperative (baseline) and postoperative periods  of urogynecologic surgeries were determined and the correlation of the change to  ureteral injury and/or obstruction analyzed. The sample size calculation showed 7  cases and 28 controls were sufficient to detect significant changes in  creatinine. Each of the seven cases was matched for age and type of surgery with  a control patient in a 1:4 ratio following standard protocol. RESULTS: Chart  review of patients (273 cases) undergoing urogynecologic surgeries from October  2009 to June 2014 were undertaken. There were 7 cases of ureteral injury and 28  matching control cases. All cases had intraoperative cystoscopy confirming  bilateral ureteral flow. In the ureteral injury group, blockage of ureter was  confirmed by CT scan with IV contrast. There was a 59.8% increase in serum  creatinine levels postoperative in the ureteral injury group versus a 3.8%  decrease in controls. A difference of creatinine levels greater than or equal to  0.3 mg/dL over baseline was evident in ureteral injury cases. CONCLUSION: A small  change in serum creatinine level over baseline after urogynecologic surgery  alerted the possibility of ureteral injury or obstruction. A simple and  inexpensive evaluation of perioperative creatinine levels can promptly diagnose  ureteral damage in the acute postoperative period for gynecologic reconstructive  surgeries.","2017-11","2023-07-10 09:10:22","2023-07-10 09:10:22","","1915-1919","","11","49","","Int Urol Nephrol","","","","","","","","eng","","","","","","","Place: Netherlands PMID: 28861678","","","","Adult; Humans; Middle Aged; Case-Control Studies; Aged; Area Under Curve; Creatinine; ROC Curve; Retrospective Studies; Perioperative Period; Creatinine/*blood; Ureter; Gynecologic Surgical Procedures/adverse effects; Surgery injury; Ureter/*injuries; Ureteral Obstruction/*blood/*diagnosis/etiology; Urogynecology; Urologic Surgical Procedures/adverse effects; Wounds and Injuries/*blood/*diagnosis/etiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WX8USREP","journalArticle","2013","Oplinger, Mandy; Andrews, Carlota O.","Nitrofurantoin contraindication in patients with a creatinine clearance below 60 mL/min: looking for the evidence.","The Annals of pharmacotherapy","","1542-6270 1060-0280","10.1345/aph.1R352","","OBJECTIVE: To investigate the evidence leading to nitrofurantoin contraindication in patients with a creatinine clearance (CrCl) below 60 mL/min. DATA SOURCES:  Literature was searched in PubMed (1965-June 2012) by using the key words and  MeSH terms urinary tract infections-drug therapy, chronic kidney insufficiency,  kidney diseases, pharmacokinetics, safety, and efficacy, combined with  nitrofurantoin. Articles were limited to the English language. References from  the identified studies, Food and Drug Administration-approved product information  packets, drug information resources, and pharmacology books were also reviewed.  DATA SYNTHESIS: The contraindication of nitrofurantoin in patients with a CrCl  below 60 mL/min was included in the product information packets sometime between  1988 and 2003. The 1988 Macrodantin product information indicated a CrCl cutoff  level of 40 mL/min, but the current contraindication of less than 60 mL/min is  found in the 2003 Macrobid product information. It is unclear when and why this  change occurred, but it may have followed the work of Sachs and colleagues in  1968, who reported very little drug recovery in the urine of patients with a CrCl  below 60 mL/min. This and previous studies have several and severe limitations,  such as the inclusion of a small number of patients, an undefined or poorly  defined method to determine CrCl and renal impairment, measurement of amounts of  nitrofurantoin excreted in the urine instead of urinary concentrations, and most  importantly, a lack of clinical efficacy end points. More recently, a chart  review on clinical cure of urinary tract infections treated with nitrofurantoin  provided grounds for further investigations on the utility of this drug for  patients with a CrCl of 60 mL/min or lower. Concerns of increased risks of  serious adverse reactions in patients with reduced renal function have further  limited the use of nitrofurantoin. However, although not completely clear, these  complications seem to be linked most often to prolonged treatment, genetic  variability, and predisposition to hypersensitivity. CONCLUSIONS: Data supporting  the contraindication of nitrofurantoin for patients with a CrCl less than 60  mL/min are nonexistent. Well-designed clinical trials with urinary concentration  information and clinical end points on patients with various degrees of renal  impairment are much needed. Until such a study becomes available, the limited  data available would support considering using this drug in patients with a CrCl  of 40 mL/min or higher.","2013-01","2023-07-10 09:10:22","2023-07-10 09:10:22","","106-111","","1","47","","Ann Pharmacother","","","","","","","","eng","","","","","","","Place: United States PMID: 23341159","","","","Humans; Kidney Function Tests; Contraindications; Creatinine/blood/urine; Kidney Diseases/*physiopathology; *Anti-Infective Agents, Urinary/adverse effects/therapeutic use; *Nitrofurantoin/adverse effects/therapeutic use; Urinary Tract Infections/drug therapy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AENXV99","journalArticle","2002","Nishimura, Masato","[Creatinine clearance].","Nihon rinsho. Japanese journal of clinical medicine","","0047-1852","","","","2002-08","2023-07-10 09:10:22","2023-07-10 09:10:22","","546-549","","","60 Suppl 8","","Nihon Rinsho","","","","","","","","jpn","","","","","","","Place: Japan PMID: 12355806","","","","Humans; Metabolic Clearance Rate; Biomarkers/blood/urine; Glomerular Filtration Rate; Creatinine/blood/*urine; Kidney Function Tests/*methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9R7JPP2H","journalArticle","2016","Chu, Xiaoyan; Bleasby, Kelly; Chan, Grace Hoyee; Nunes, Irene; Evers, Raymond","The Complexities of Interpreting Reversible Elevated Serum Creatinine Levels in Drug Development: Does a Correlation with Inhibition of Renal Transporters Exist?","Drug metabolism and disposition: the biological fate of chemicals","","1521-009X 0090-9556","10.1124/dmd.115.067694","","In humans, creatinine is formed by a multistep process in liver and muscle and eliminated via the kidney by a combination of glomerular filtration and active  transport. Based on current evidence, creatinine can be taken up into renal  proximal tubule cells by the basolaterally localized organic cation transporter 2  (OCT2) and the organic anion transporter 2, and effluxed into the urine by the  apically localized multidrug and toxin extrusion protein 1 (MATE1) and MATE2K.  Drug-induced elevation of serum creatinine (SCr) and/or reduced creatinine renal  clearance is routinely used as a marker for acute kidney injury. Interpretation  of elevated SCr can be complex, because such increases can be reversible and  explained by inhibition of renal transporters involved in active secretion of  creatinine or other secondary factors, such as diet and disease state.  Distinction between these possibilities is important from a drug development  perspective, as increases in SCr can result in the termination of otherwise  efficacious drug candidates. In this review, we discuss the challenges associated  with using creatinine as a marker for kidney damage. Furthermore, to evaluate  whether reversible changes in SCr can be predicted prospectively based on in  vitro transporter inhibition data, an in-depth in vitro-in vivo correlation  (IVIVC) analysis was conducted for 16 drugs with in-house and literature in vitro  transporter inhibition data for OCT2, MATE1, and MATE2K, as well as total and  unbound maximum plasma concentration (Cmax and Cmax,u) data measured in the  clinic.","2016-09","2023-07-10 09:10:22","2023-07-10 09:10:22","","1498-1509","","9","44","","Drug Metab Dispos","","","","","","","","eng","Copyright © 2016 by The American Society for Pharmacology and Experimental Therapeutics.","","","","","","Place: United States PMID: 26825641","","","","Humans; Kidney/*metabolism; Biomarkers/metabolism; *Drug Design; Kidney Function Tests; Creatinine/*blood; Organic Anion Transporters, Sodium-Independent/*antagonists & inhibitors/metabolism; Organic Cation Transporter 2/*antagonists & inhibitors/metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGP2LQLY","journalArticle","2000","Kadiri, S.; Ajayi, S. O.","Variability in the relationship between serum creatinine and creatinine clearance in hypertensives and normotensives with normal renal function.","African journal of medicine and medical sciences","","0309-3913","","","Variabilities exist in the relationship between serum creatinine (Se-C) and creatinine clearance (CCr) due to the influences of age, muscle mass and gender  on creatinine production. We studied this variability in a group of hypertensives  (n = 62, 30 male, age 44 +/- 7 years) and normotensives (n = 90, 47 male, age 42  +/- 10 years) with normal renal function (Se-C < 1.5 mg/dL). There was a wide  scatter of CCr about each Se-C value. Se-C was higher in males than females and  in hypertensives than normotensives, but the differences were not statistically  significant. Mean Se-C for the whole group was 0.91 +/- 0.23 mg/dL and  corresponded to CCr of 93 +/- 23 mL/min and 93 +/- 21 mL/min before and after  adjustment to a body surface area (BSA) of 1.73 m2. Adjusted CCr was  significantly lower in hypertensives than normotensives in males (86 +/- 20  mL/min Vs 99 +/- 21 mL/min, P < 0.01) and females (84 +/- 19 mL/min Vs 96 +/- 19  mL/min, P < 0.01). Crude CCr was significantly higher in men than women (P <  0.05) in the whole group but not significantly in the normotensive or  hypertensive subgroups. After adjustment, the differences diminished and became  insignificant in the whole group. Some subgroups had identical mean Se-C values  but different adjusted CCr. A particular Se-C value did not always indicate a  particular CCr. Adjustment of CCr to 1.73 m2 BSA reduced the variability between  Se-C and CCr and the difference between the genders. CCr showed significant  difference in renal function between subgroups where Se-C did not.","2000-06","2023-07-10 09:10:22","2023-07-10 09:10:22","","93-96","","2","29","","Afr J Med Med Sci","","","","","","","","eng","","","","","","","Place: Nigeria PMID: 11379457","","","","Adult; Humans; Male; Female; Middle Aged; Case-Control Studies; Metabolic Clearance Rate; Bias; Sex Characteristics; Severity of Illness Index; Confounding Factors, Epidemiologic; *Glomerular Filtration Rate; Kidney Function Tests/*methods/*standards; Creatinine/*blood/*metabolism; Hypertension/*blood/classification/etiology/*metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
