"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TUEVTQ8Z","journalArticle","1988","Vandenburg, M. J.; Morris, F.; Marks, C.; Kelly, J. G.; Dews, I. M.; Stephens, J. D.","A study of the potential pharmacokinetic interaction of lisinopril and digoxin in normal volunteers.","Xenobiotica; the fate of foreign compounds in biological systems","","0049-8254","10.3109/00498258809042240","","1. The pharmacokinetics of single oral doses of 20 mg lisinopril and 0.25 mg digoxin, given alone and together, have been studied in 12 normal young male  volunteers. 2. Peak serum conc of lisinopril occurred at 6 to 8 h and were  slightly higher during combined treatment. Subsequent elimination proceeded  moderately rapidly in both cases, concn declining to approx. 25% of peak values  in 24 h. The AUC of lisinopril was similarly slightly higher during combined  treatment. 3. After lisinopril alone, urinary elimination of unchanged lisinopril  was 13% dose in 72 h, and after combined therapy was 17% dose. 4. Although there  were no statistically significant differences in lisinopril pharmacokinetics  during single or combined treatment, serum and urinary parameters suggest that  bioavailability may be enhanced slightly during combined treatment. 5. Plasma  concentrations of digoxin were slightly lower and urinary excretion slightly  higher during combined treatment, the mean renal clearance being 20% higher.","1988-10","2023-10-27 11:21:12","2023-10-27 14:31:16","","1179-1184","","10","18","","Xenobiotica","","","","","","","","eng","","","","","","","Place: England PMID: 2853897","","","","Adult; Humans; Male; Drug Interactions; Lisinopril; Digoxin/blood/*pharmacokinetics/urine; Enalapril/*analogs & derivatives/blood/pharmacokinetics/urine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UEEUGZQG","journalArticle","1987","Gautam, P. C.; Vargas, E.; Lye, M.","Pharmacokinetics of lisinopril (MK521) in healthy young and elderly subjects and in elderly patients with cardiac failure.","The Journal of pharmacy and pharmacology","","0022-3573","10.1111/j.2042-7158.1987.tb03130.x","","The pharmacokinetics of lisinopril were determined in 6 healthy young, 6 healthy elderly and 6 elderly patients with cardiac failure. Lisinopril (5 mg day-1) was  administered for 7 days. Plasma lisinopril concentration was measured at 1, 2, 4,  6, 8 and 24 h on days 1 and 7 of the study. The two elderly groups had higher  serum lisinopril concentrations than the healthy young subjects (P less than  0.05). There were no significant differences in any of the areas under the curve  (AUC) for lisinopril plasma concentration (over time) between the healthy young  and healthy elderly groups. The healthy young patients had AUC values on day 7  lower than elderly patients with cardiac failure (P less than 0.01). Creatinine  clearance was correlated with lisinopril clearance (r = 0.63; P = 0.006) and with  AUC on day 7 (r = -0.67; P = 0.004). Lisinopril clearance was different in the  three groups (P less than 0.05): healthy young patients had the highest and  elderly patients with cardiac failure the lowest values. Thus, in the elderly a  reduced renal clearance of lisinopril leads to higher and more sustained blood  levels. In elderly patients with cardiac failure, renal function should be  estimated before lisinopril is prescribed as a reduction in dose may be  appropriate.","1987-11","2023-10-27 11:21:12","2023-10-27 14:24:10","","929-931","","11","39","","J Pharm Pharmacol","","","","","","","","eng","","","","","","","Place: England PMID: 2892917","","","","Adult; Humans; Male; Female; Aged; Aged, 80 and over; Angiotensin-Converting Enzyme Inhibitors/pharmacology; Lisinopril; Enalapril/*analogs & derivatives/blood/pharmacokinetics; Heart Failure/*metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA44R2QH","journalArticle","1991","Sica, D. A.; Cutler, R. E.; Parmer, R. J.; Ford, N. F.","Comparison of the steady-state pharmacokinetics of fosinopril, lisinopril and enalapril in patients with chronic renal insufficiency.","Clinical pharmacokinetics","","0312-5963","10.2165/00003088-199120050-00006","","The phosphinyl ester prodrug fosinopril, a new angiotensin converting enzyme (ACE) inhibitor, is fully hydrolysed after oral administration to the  pharmacologically active diacid, fosinoprilat. This metabolite is cleared by both  hepatic and renal routes, while most other ACE inhibitors are cleared exclusively  by the kidney. In the present study, after administration of multiple fixed oral  doses the accumulation of the active moieties of fosinopril, enalapril and  lisinopril was compared in patients with renal insufficiency. 29 patients with  creatinine clearances (CLCR) less than 30 ml/min received either fosinopril 10mg  (n = 9), enalapril 2.5mg (n = 10) or lisinopril 5mg (n = 10) once daily for 10  days in a nonblind (open-label) parallel study. Pharmacokinetic parameters  including area under the serum concentration-time curve (AUC), peak serum  concentration (Cmax) and time to peak concentration (tmax), as well as renal  function, blood pressure, and plasma renin activity (PRA) and aldosterone levels,  were determined on the first and last days of the study. The percentage (+/- SEM)  increases in AUC from day 1 to day 10 for fosinoprilat, enalaprilat and  lisinopril were 26.8 +/- 9.9 (nonsignificant), 76.6 +/- 16.6 (p less than 0.001)  and 161.7 +/- 31.8% (p less than 0.001), respectively. These results indicate  that there was significantly less accumulation of fosinoprilat, based on  accumulation indices, relative to either enalaprilat (p less than 0.05) or  lisinopril (p less than 0.001) during the study. The Cmax of fosinopril increased  significantly less than that of lisinopril (21.1 vs 123.6%; p less than 0.01).  Renal function was not altered in any group, and blood pressure changed  modestly.(ABSTRACT TRUNCATED AT 250 WORDS)","1991-05","2023-10-27 11:21:12","2023-10-27 14:28:47","","420-427","","5","20","","Clin Pharmacokinet","","","","","","","","eng","","","","","","","Place: Switzerland PMID: 1652404","","","","Humans; Male; Female; Middle Aged; Aged; Lisinopril; Fosinopril; Angiotensin-Converting Enzyme Inhibitors/blood/*pharmacokinetics; Enalapril/*analogs & derivatives/blood/*pharmacokinetics; Kidney Failure, Chronic/*metabolism; Proline/*analogs & derivatives/blood/pharmacokinetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LR7JEZQ","journalArticle","1989","Bendtsen, F.; Henriksen, J. H.","Comparative pharmacokinetics and pharmacodynamics of lisinopril and enalapril, alone and in combination with propranolol.","Journal of human hypertension","","0950-9240","","","In an open, crossover study, the pharmacokinetic and pharmacodynamic profiles of lisinopril and enalapril, administered alone and in combination with propranolol,  were evaluated in 12 volunteers. The maximum serum concentration (Cmax) of  lisinopril and time to reach maximum concentration (Tmax) were 64 +/- 16 ng/ml  and 7.5 +/- 1.5 h, respectively. The area under the serum curve (AUC) was 916 +/-  239 h. ng/ml. The Cmax of enalaprilat (89 +/- 34 ng/ml) was greater than that of  lisinopril whilst Tmax was shorter (4.3 +/- 1.7 h) and AUC smaller (718 +/- 17  h.ng/ml) (P less than 0.01). Renal clearance of drug 48 h post-dosing showed that  enalaprilat (164 +/- 38 ml/min) was cleared from plasma significantly more  rapidly than lisinopril (82 +/- 16 ml/min) (P less than 0.001). Mean supine blood  pressure decreased significantly with all treatments, as did heart rate. No  significant changes were observed in either the serum concentrations or the  urinary outputs of these ACE inhibitors following combination with propranolol,  apart from a greater variability of Cmax after addition of propranolol to  enalapril compared with lisinopril in combination.","1989-06","2023-10-27 11:21:12","2023-10-27 14:22:37","","139-145","","","3 Suppl 1","","J Hum Hypertens","","","","","","","","eng","","","","","","","Place: England PMID: 2550636","","","","Adult; Humans; Male; Female; Drug Interactions; Blood Pressure/drug effects; Heart Rate/drug effects; Drug Therapy, Combination; Lisinopril; Angiotensin-Converting Enzyme Inhibitors/administration & dosage/*pharmacokinetics/pharmacology; Enalapril/administration & dosage/*analogs & derivatives/*pharmacokinetics/pharmacology; Propranolol/administration & dosage/*pharmacology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NNPJNAY","journalArticle","2001","Wells, T.; Rippley, R.; Hogg, R.; Sakarcan, A.; Blowey, D.; Walson, P.; Vogt, B.; Delucchi, A.; Lo, M. W.; Hand, E.; Panebianco, D.; Shaw, W.; Shahinfar, S.","The pharmacokinetics of enalapril in children and infants with hypertension.","Journal of clinical pharmacology","","0091-2700","10.1177/00912700122012661","","Forty children with hypertension between the age of 2 months and 15 years received 0.07 to 0.14 mg/kg of enalapril as a single daily dose. Enalapril was  administered orally as a novel extemporaneous suspension in children younger than  6 years of age and as tablets in older children. First-dose and steady-state  pharmacokinetics were estimated in children ages 1 to 24 months, 25 months to < 6  years, 6 to < 12 years, and 12 to < 16 years. Maximum serum concentrations for  enalapril occurred approximately 1 hour after administration. Serum  concentrations of enalaprilat, the active metabolite of enalapril, peaked between  4 and 6 hours after the first dose and 3 and 4 hours after multiple doses. The  area under the concentration versus time curve (AUC), adjusted for body surface  area, did not differ between age groups. Based on comparison of first-dose and  steady-state AUCs, the accumulation of enalaprilat in children ranged from 1.13-  to 1.45-fold. For children ages 2 to 15 years, mean urinary recovery of total  enalaprilat ranged from 58.3% in children ages 6 to < 12 years to 71.4% in  children ages 12 to < 16 years. Urinary recovery for children ages 2 to < 6 years  was 66.8%. The mean percentage conversion of enalapril to enalaprilat ranged from  64.7% for children ages 1 to 24 months to 74.6% for children ages 6 to < 12  years. The median effective half-life for accumulation ranged from 14.6 hours in  children ages 12 to < 16 years to 16.3 hours in children ages 6 to < 12 years.  There were two serious adverse events, neither of which was attributed to  enalapril or resulted in discontinuation of the study drug. The extemporaneous  suspension used in this study was tolerated well. The pharmacokinetics of  enalapril and enalaprilat in hypertensive children ages 2 months to 15 years with  normal renal function appears to be similar to that previously observed in  healthy adults.","2001-10","2023-10-27 11:21:12","2023-10-27 14:31:28","","1064-1074","","10","41","","J Clin Pharmacol","","","","","","","","eng","","","","","","","Place: England PMID: 11583474","","","","Adolescent; Humans; Male; Female; Analysis of Variance; Area Under Curve; Child; Confidence Intervals; Child, Preschool; Infant; Antihypertensive Agents/blood/*pharmacokinetics/urine; Enalapril/blood/*pharmacokinetics/urine; Enalaprilat/blood/urine; Hypertension/*blood/urine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5FVL7EB3","journalArticle","1990","Shionoiri, H.; Minamisawa, K.; Ueda, S.; Abe, Y.; Ebina, T.; Sugimoto, K.; Matsukawa, T.; Gotoh, E.; Ishii, M.","Pharmacokinetics and antihypertensive effects of lisinopril in hypertensive patients with normal and impaired renal function.","Journal of cardiovascular pharmacology","","0160-2446","10.1097/00005344-199010000-00010","","The antihypertensive effects and pharmacokinetic properties of lisinopril, an angiotensin-converting enzyme (ACE) inhibitor, were investigated in hypertensive  patients with normal renal function (NRF, mean serum creatinine 1.0 mg/dl, n = 9)  and those with impaired renal function (IRF, mean serum creatinine 1.7 mg/dl, n =  8). Lisinopril was administered orally (10-mg dose once daily for 5 or 8 days).  Measurement of blood pressure (BP) and sampling of blood specimens were made on  the first and last days of treatment. During consecutive dosing of lisinopril,  its antihypertensive effects were sustained for greater than or equal to 12 h  with less diurnal variation of BP. Serum ACE activity was markedly suppressed for  24 h. Plasma levels of lisinopril in the IRF group were higher than those in NRF  with significant differences in the peak levels and areas under the plasma  concentration time curve (AUC). A significant inverse correlation was found  between the creatinine clearance and the AUC for lisinopril. These results  suggest that lisinopril has a long-lasting action and that it is a useful  antihypertensive agent for controlling BP in patients with either NRF or mild  IRF. When administered for an extended period, however, more careful  consideration should be given to the dose in patients with IRF than in patients  with NRF to minimize the possibility of untoward side effects.","1990-10","2023-10-27 11:21:12","2023-10-27 14:28:45","","594-600","","4","16","","J Cardiovasc Pharmacol","","","","","","","","eng","","","","","","","Place: United States PMID: 1706800","","","","Adult; Humans; Male; Female; Middle Aged; Analysis of Variance; Clinical Trials as Topic; Drug Evaluation; Creatinine/blood; Lisinopril; Antihypertensive Agents/blood/pharmacokinetics/*pharmacology; Enalapril/*analogs & derivatives/blood/pharmacokinetics/pharmacology; Hypertension/blood/drug therapy/*physiopathology; Kidney Diseases/blood/drug therapy/*physiopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2J268R23","journalArticle","1991","Swaisland, A. J.","The pharmacokinetics of co-administered lisinopril and hydrochlorothiazide.","Journal of human hypertension","","0950-9240","","","Co-administration of drugs with complementary action is a rational approach to the treatment of hypertension provided that the drugs are free of mutual  pharmacokinetic interactions. The pharmacokinetics of single doses of lisinopril  10 mg alone, hydrochlorothiazide 12.5 mg alone, both drugs given concomitantly,  and both given in a fixed combination tablet were studied in 24 healthy  volunteers (including four women) using a randomized four-way crossover design  with each treatment separated by 2 weeks. Timed blood and urine samples were  collected for measurement of peak serum levels, area under the concentration vs  time curve (AUC) and urinary recovery of lisinopril and hydrochlorothiazide. When  given alone, peak serum levels of lisinopril (attained 6-8 hours post dose) were  44 ng/ml. Urinary recovery was 17.6% of the dose. Mean values after treatment  with the combination tablet were only 2-6% lower, and co-administration with  hydrochlorothiazide in free combination gave mean values 7% higher than the  fixed-dose combination. Time to peak serum levels did not vary between  treatments. Dosing with hydrochlorothiazide alone resulted in a mean peak serum  concentration of 53 ng/ml, 2-6 hours post dose. The combination tablet resulted  in a peak serum level and AUC for hydrochlorothiazide about 10% lower. The  corresponding values for the free combination were only about 7% lower. The  results indicate no clinically relevant pharmacokinetic interaction between the  two components when administered in a single tablet.","1991-12","2023-10-27 11:21:12","2023-10-27 14:28:53","","69-71","","","5 Suppl 2","","J Hum Hypertens","","","","","","","","eng","","","","","","","Place: England PMID: 1665181","","","","Adult; Humans; Male; Female; Chromatography, High Pressure Liquid; Drug Combinations; Drug Therapy, Combination; Radioimmunoassay; Lisinopril; Hypertension/drug therapy; Angiotensin-Converting Enzyme Inhibitors/administration & dosage/*pharmacokinetics; Enalapril/administration & dosage/*analogs & derivatives/pharmacokinetics; Hydrochlorothiazide/administration & dosage/*pharmacokinetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29DQ3MFY","journalArticle","1998","Takata, Y.; Tajima, S.; Mochizuki, S.; Suzaka, H.; Tomiyama, A.; Kato, H.","Antihypertensive activity and pharmacokinetics of KD3-671, a nonpeptide AT1-receptor antagonist, in renal hypertensive dogs.","Journal of cardiovascular pharmacology","","0160-2446","10.1097/00005344-199811000-00021","","The antihypertensive activity and pharmacokinetics of KD3-671 (previously named KT3-671), a nonpeptide AT1-receptor antagonist, were investigated in renal  hypertensive dogs with normal or high plasma renin activity (PRA). A single  administration of KD3-671 at 3 and 10 mg/kg, p.o., to the hypertensive dogs with  high PRA dose-dependently reduced mean blood pressure (MBP), which was not  correlated with plasma KD3-671 concentration. Significant increases in PRA and  plasma angiotensin (Ang) II occurred 2 h after KD3-671 dosing. Enalapril at 3  mg/kg, p.o., also reduced MBP. Neither KD3-671 nor enalapril affected heart rate.  When given orally once a day for 29 days to the hypertensive dogs with normal  PRA, KD3-671 at 3 and 10 mg/kg/day dose-dependently reduced MBP, which was  smaller than that in the dogs with high PRA. This was the case for enalapril. The  hypotension induced by the first dose of KD3-671 or enalapril was consistently  observed after doses 8, 15, 22, and 29. After cessation of repeated dosing, no  rebound phenomenon in MBP was observed. Pharmacokinetic parameters of KD3-671  were not influenced by repeated dosing. KD3-671 markedly increased both PRA and  plasma Ang II concentration at 2 h after dosing. These results suggest that  KD3-671 may be useful for the treatment of hypertension.","1998-11","2023-10-27 11:21:12","2023-10-27 14:28:56","","834-844","","5","32","","J Cardiovasc Pharmacol","","","","","","","","eng","","","","","","","Place: United States PMID: 9821859","","","","Male; Animals; Dogs; Antihypertensive Agents/*therapeutic use; Imidazoles/pharmacokinetics/*pharmacology; Aldosterone/blood; Renin/blood; Enalapril/pharmacology; *Angiotensin Receptor Antagonists; Angiotensin II/blood; Hypertension, Renal/*drug therapy; Tetrazoles/pharmacokinetics/*pharmacology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P6TYD9AN","journalArticle","2013","Pees, M.; Pees, K.; Abraham, G.; Lierz, M.; Ungemach, F. R.; Krautwald-Junghanns, M.-E.","[Examinations on the pharmacokinetics and compatibility of enalapril in racing pigeons].","Tierarztliche Praxis. Ausgabe K, Kleintiere/Heimtiere","","2567-5842 1434-1239","","","OBJECTIVE: It was the aim of this study to examine the compatibility and the pharmacokinetics of the angiotensin converting enzyme inhibitor enalapril after  oral application in racing pigeons and Amazons, and to contribute to a safe  dosage regime of this drug in birds. MATERIAL AND METHODS: For the examination of  drug compatibility, three groups of pigeons (n = 8 each) received enalapril into  the crop at a dose of 5 or 10 mg/kg body weight, or placebo, respectively. Health  status, and water and food consumption were monitored regularly, and clinical,  hematological and blood-chemical parameters were determined. To determine a  suitable starting dosage, birds were treated with enalapril at a dose of 2.5  mg/kg (first trial) and 1.25 mg/kg (second trial), and blood samples were  collected at defined time points. Using high performance liquid chromatography  (HPLC), the enalapril concentration in the plasma samples was determined.  RESULTS: Drug application did not cause any significant drug-related difference  between the groups. Nearly all measured parameters were found to be within normal  physiological ranges. Only for hematocrit was a slight but significant increase  found for the group treated with 5 mg/kg enalapril. In pigeons, after application  of 2.5 mg/kg enalapril, the maximum plasma concentration was found in the first  sample taken (388.2 ± 174.1 mg/kg). The application of 1.25 mg/kg resulted in a  maximum concentration of 116.1 ± 70.2 ng/ml after 30 minutes in pigeons. In the  Amazon birds, the maximum value was found after 1 hour (first sampling) of 43.3  ±6.0 ng/ml. In all examinations, the enalapril concentration was <15 ng/ml after  8 hours. The terminal half-life was 2.68 hours for pigeons and 2.36 hours for  Amazons. CONCLUSION: The results underline the good compatibility of enalapril  after oral administration in healthy pigeons. A starting dosage of 1.25 mg/kg  enalapril given twice daily can be recommended. CLINICAL RELEVANCE: The study  provides basic data (compatibility and pharmacokinetics) for the application of  enalapril in birds such as the racing pigeon.","2013","2023-10-27 11:21:12","2023-10-27 14:28:23","","319-325","","5","41","","Tierarztl Prax Ausg K Kleintiere Heimtiere","","","","","","","","ger","","","","","","","Place: Germany PMID: 24127029","","","","Animals; Administration, Oral; pharmacokinetics; ACE inhibitor; Angiotensin-Converting Enzyme Inhibitors/administration & dosage/adverse effects/blood/*pharmacokinetics; bird; Columbidae/blood/*metabolism; compatibility; Enalapril/administration & dosage/*adverse effects/blood/*pharmacokinetics; heart","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JH4LXEIV","journalArticle","2003","Lohitnavy, Ornrat; Lohitnavy, Manupat; Polnok, Sanglar; Taytiwat, Prawit","Relative bioavailability study of 20-mg enalapril tablets in healthy male volunteers.","Journal of the Medical Association of Thailand = Chotmaihet thangphaet","","0125-2208","","","The pharmacokinetic and relative bioavailability studies of 20-mg enalapril tablets, the test product manufactured by Biolab, Thailand compared to the  reference product (Merck Sharp & Dohme, USA) was conducted in 14 healthy Thai  male volunteers following a single dose, two-period, crossover design. Each  subject received 20-mg enalapril tablets of both formulations with a 1-week  washout period. Plasma samples collected over a 24-h period after administration  were analyzed by LC/MS/MS. Pharmacokinetic parameters were determined by using  non-compartmental analysis. Regarding bioequivalence testing, the 90 per cent  confidence intervals of Cmax and AUC(0-infinity) ratios (test/reference) of  enalapril were 101.8-134.9 per cent and 105.9-121.4 per cent and those of  enalaprilat were 104.2-122.3 per cent and 104.5-118.1 per cent. Based on the  European bioequivalence guideline, the 90 per cent confidence intervals of Cmax  and AUC(0-infinity) ratios of both parent and metabolite forms were within the  acceptable ranges of 70-143 per cent and 80-125 per cent, respectively. It was  concluded that the test formulation was bioequivalent to the reference  formulation and both formulations can be used interchangeably in clinical  practice.","2003-10","2023-10-27 11:21:12","2023-10-27 14:26:14","","947-952","","10","86","","J Med Assoc Thai","","","","","","","","eng","","","","","","","Place: Thailand PMID: 14650707","","","","Adolescent; Adult; Humans; Male; Middle Aged; Cross-Over Studies; Biological Availability; Volunteers; Antihypertensive Agents/*pharmacokinetics; Enalapril/*pharmacokinetics; Enalaprilat/*pharmacokinetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
